robot,0,"[(2, 2), (3, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (4, 9), (3, 9)]"
box,0,"[(4, 4), (4, 4), (4, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 9), (4, 9), (3, 9), (2, 9)]"
robot,1,"[(9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (5, 10), (5, 11), (6, 11), (7, 11)]"
box,1,"[(6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11), (6, 11), (6, 11), (7, 11), (8, 11)]"
