robot,0,"[(9, 12), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11)]"
box,0,"[(8, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11)]"
robot,1,"[(10, 5), (9, 5), (8, 5), (7, 5), (7, 4), (7, 3), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (5, 8), (5, 9), (6, 9), (7, 9)]"
box,1,"[(6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 9), (6, 9), (7, 9), (8, 9)]"
robot,2,"[(2, 2), (3, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (4, 9), (3, 9)]"
box,2,"[(4, 4), (4, 4), (4, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 9), (4, 9), (3, 9), (2, 9)]"
